hero_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
1,0.442477876,0.445714286,0.505617978,0.547486034,0.423076923,0.59375,0.529230769,0.453038674,0.353266888,0.455555556,0.474666667,0.370689655,0.460071514,0.472222222,0.524271845,0.461538462,0.448692153,0.518382353,0.55,0.48852459,0.5,0.583333333,0.553763441,0.5,0.467592593,0.487632509,0.526184539,0.468879668,0.432432432,0.457875458,0.498901099,0.370460048,0.519607843,0.514925373,0.470319635,0.431168831,0.469135802,0.522222222,0.502145923,0.498533724,0.522292994,0.423913043,0.487039563,0.467661692,0.456692913,0.504237288,0.459915612,0.434782609,0.570652174,0.45979021,0.526984127,0.493946731,0.513513514,0.421652422,0.447124304,0.483905579,0.488986784,0.509641873,0.473684211,0.435622318,0.426858513,0.412915851,0.54589372,0.440406977,0.492957746,0.497607656,0.543352601,0.523255814,0.47,0.438920455,0.441558442,0.357142857,0.414364641,0.495049505,0.542328042,0.437429538,0.397727273,0.444264943,0.407894737,0.435897436,0.471937531,0.508896797,0.342783505,0.416666667,0.525345622,0.429463171,0.425339367,0.428571429,0.545454545,0.520408163,0.45319561,0.518672199,0.390070922,0.460966543,0.496491228,0.3977813,0.491176471,0.461636829,0.43804262,0.493702771,0.503649635,0.4544,0.488700565,0.392857143,0.438811189,0.414728682,0.5,0.423076923,0.453547297,0.435,0.431630972,0.5,0.5
2,0.392857143,0.398826979,0.489361702,0.591194969,0.476190476,0.46969697,0.537878788,0.380530973,0.382932166,0.493975904,0.496527778,0.393258427,0.457063712,0.45,0.506756757,0.492537313,0.352380952,0.45325779,0.5,0.463636364,0.506297229,0.534482759,0.430379747,0.5,0.467105263,0.464516129,0.496124031,0.485436893,0.387254902,0.333333333,0.390977444,0.33463035,0.552447552,0.43,0.421052632,0.397058824,0.445414847,0.473684211,0.402684564,0.509677419,0.511363636,0.37037037,0.429054054,0.387096774,0.525773196,0.387387387,0.408695652,0.417445483,0.5,0.429824561,0.517241379,0.470238095,0.402985075,0.449152542,0.432017544,0.413551402,0.445255474,0.467120181,0.551724138,0.448,0.418994413,0.379679144,0.496815287,0.397476341,0.47826087,0.530769231,0.452054795,0.414634146,0.349462366,0.447242206,0.485294118,0.532258065,0.514285714,0.6,0.538243626,0.404471545,0.362318841,0.45819398,0.515789474,0.5,0.468368479,0.459627329,0.375,0.472,0.475247525,0.31010453,0.421052632,0.328358209,0.586956522,0.530612245,0.379120879,0.467153285,0.447058824,0.395683453,0.382113821,0.353115727,0.481848185,0.427616927,0.331325301,0.5,0.551724138,0.38170347,0.439834025,0.633333333,0.45035461,0.332155477,0.5,0.383233533,0.44,0.467908903,0.333333333,0.472727273,0.5
3,0.358778626,0.364238411,0.5,0.452380952,0.52173913,0.528571429,0.527472527,0.350877193,0.37630662,0.388888889,0.526595745,0.404761905,0.471264368,0.4375,0.484210526,0.577777778,0.462962963,0.451923077,0.5625,0.369565217,0.531120332,0.6,0.590909091,0.5,0.426470588,0.430107527,0.542510121,0.5,0.473282443,0.444444444,0.37037037,0.348148148,0.609375,0.368421053,0.396551724,0.467336683,0.442028986,0.5,0.40625,0.470588235,0.551724138,0.348837209,0.445026178,0.368421053,0.736842105,0.52238806,0.415584416,0.445652174,0.464285714,0.479532164,0.536082474,0.436781609,0.469026549,0.433628319,0.471774194,0.460992908,0.463768116,0.523636364,0.434782609,0.501831502,0.480314961,0.413043478,0.52293578,0.443946188,0.493506494,0.561403509,0.473684211,0.64,0.409090909,0.450819672,0.5,0.529411765,0.555555556,0.551724138,0.55026455,0.462151394,0.367924528,0.497326203,0.333333333,0.46969697,0.497382199,0.571428571,0.518072289,0.436781609,0.440677966,0.479166667,0.575757576,0.386363636,0.538461538,0.47826087,0.45177665,0.5,0.5,0.53125,0.468208092,0.459183673,0.507936508,0.478927203,0.386792453,0.514563107,0.527777778,0.478723404,0.52,0.533333333,0.462686567,0.424581006,0.5,0.431578947,0.503472222,0.532818533,0.439393939,0.571428571,0.5
4,0.443478261,0.406015038,0.428571429,0.523364486,0.433333333,0.416666667,0.560606061,0.494505495,0.429602888,0.5,0.505102041,0.307017544,0.490990991,0.375,0.482142857,0.5,0.350364964,0.436724566,0.444444444,0.381818182,0.506053269,0.575,0.605263158,0.5,0.589473684,0.364583333,0.554347826,0.563218391,0.396825397,0.410714286,0.378378378,0.419354839,0.495238095,0.5,0.457142857,0.362139918,0.506024096,0.285714286,0.385542169,0.457943925,0.485294118,0.409090909,0.432989691,0.351851852,0.46,0.452380952,0.529411765,0.427184466,0.574468085,0.456043956,0.503759398,0.5,0.427272727,0.452991453,0.436823105,0.433098592,0.411764706,0.524305556,0.338461538,0.452830189,0.442028986,0.416666667,0.488188976,0.455497382,0.413461538,0.591836735,0.458333333,0.432432432,0.281818182,0.470852018,0.586956522,0.333333333,0.527272727,0.525,0.518518519,0.457044674,0.343949045,0.510416667,0.390625,0.444444444,0.481481481,0.527472527,0.487179487,0.415584416,0.4375,0.436548223,0.530864198,0.5,0.622641509,0.69047619,0.430555556,0.461538462,0.425,0.376811594,0.450777202,0.413953488,0.43715847,0.456928839,0.328767123,0.529761905,0.47826087,0.413043478,0.523489933,0.470588235,0.427631579,0.321917808,0.5,0.447368421,0.507739938,0.45686901,0.369230769,0.459459459,0.5
5,0.487252125,0.453763441,0.506849315,0.639405204,0.574712644,0.643979058,0.57918552,0.573964497,0.484334204,0.596491228,0.567741935,0.515243902,0.583032491,0.558823529,0.611336032,0.567567568,0.451612903,0.56920904,0.549295775,0.498220641,0.568831169,0.558333333,0.625,0.5,0.527659574,0.481632653,0.568435754,0.532663317,0.527472527,0.473913043,0.510869565,0.492027335,0.5625,0.48447205,0.507772021,0.5,0.586956522,0.565217391,0.541501976,0.616326531,0.593103448,0.539007092,0.517482517,0.552941176,0.648,0.529953917,0.497652582,0.492857143,0.609756098,0.558983666,0.6,0.637860082,0.508522727,0.530685921,0.494296578,0.547381546,0.543378995,0.571248424,0.527027027,0.541116751,0.550868486,0.514666667,0.510989011,0.520522388,0.578181818,0.54954955,0.568181818,0.452054795,0.446640316,0.520114943,0.574468085,0.473684211,0.6640625,0.611764706,0.621052632,0.526954178,0.528700906,0.545623836,0.582733813,0.605769231,0.566059894,0.603375527,0.48534202,0.493670886,0.542857143,0.487538941,0.581081081,0.571428571,0.565656566,0.623529412,0.535823171,0.567307692,0.503703704,0.508333333,0.516326531,0.520426288,0.554973822,0.521008403,0.460101868,0.602941176,0.617391304,0.517241379,0.56547619,0.583333333,0.563169165,0.430379747,0.5,0.543071161,0.536423841,0.600903614,0.468546638,0.545454545,0.5
6,0.536842105,0.469230769,0.555555556,0.63,0.611111111,0.566666667,0.434782609,0.5,0.481327801,0.636363636,0.528089888,0.623762376,0.486055777,0.444444444,0.533333333,0.673913043,0.472440945,0.495454545,0.545454545,0.503703704,0.532407407,0.527777778,0.612244898,0.5,0.5,0.457831325,0.483443709,0.573529412,0.485714286,0.506024096,0.519230769,0.485714286,0.476923077,0.463768116,0.46875,0.472340426,0.551351351,0.714285714,0.45,0.468085106,0.509090909,0.532258065,0.43452381,0.540540541,0.5,0.5,0.409090909,0.470873786,0.68,0.516129032,0.549132948,0.410526316,0.504504505,0.581818182,0.509090909,0.421686747,0.582089552,0.536885246,0.58,0.464135021,0.547619048,0.537037037,0.449152542,0.570469799,0.453333333,0.661764706,0.604651163,0.47826087,0.378947368,0.530701754,0.552631579,0.25,0.510638298,0.636363636,0.626609442,0.510714286,0.536585366,0.51980198,0.529411765,0.53125,0.497053045,0.573170732,0.463768116,0.5125,0.53030303,0.523529412,0.671428571,0.595744681,0.794871795,0.392857143,0.481042654,0.52173913,0.416666667,0.53125,0.48125,0.452380952,0.582822086,0.4778157,0.463157895,0.532894737,0.5,0.52284264,0.536,0.538461538,0.504065041,0.508379888,0.5,0.446601942,0.542955326,0.521400778,0.480769231,0.724137931,0.5
7,0.449908925,0.44400527,0.56097561,0.586387435,0.545454545,0.51986755,0.572222222,0.532188841,0.459479016,0.534090909,0.523706897,0.515406162,0.525490196,0.516853933,0.588235294,0.581521739,0.449019608,0.50052687,0.540816327,0.479217604,0.564377682,0.529850746,0.651515152,0.5,0.535864979,0.567357513,0.542579075,0.498168498,0.534274194,0.43902439,0.496124031,0.434470377,0.551369863,0.444954128,0.508547009,0.458883249,0.50528169,0.551724138,0.546623794,0.548648649,0.601851852,0.505208333,0.476756757,0.406862745,0.665354331,0.527508091,0.463976945,0.468711656,0.558718861,0.52704577,0.549222798,0.547169811,0.466666667,0.486810552,0.467607973,0.488248673,0.559859155,0.547921968,0.563451777,0.5,0.496376812,0.485815603,0.486725664,0.425507901,0.558312655,0.513513514,0.638554217,0.537735849,0.445378151,0.46993988,0.573333333,0.53125,0.600591716,0.566037736,0.605617978,0.465265082,0.403301887,0.493943472,0.559322034,0.496350365,0.526203664,0.542087542,0.460759494,0.538461538,0.490196078,0.476139979,0.517094017,0.479262673,0.54887218,0.617647059,0.484247967,0.545150502,0.453488372,0.472934473,0.486202365,0.468677494,0.52354874,0.487056568,0.429577465,0.552,0.585714286,0.488033299,0.541860465,0.548780488,0.48,0.408917197,0.5,0.50617284,0.504580153,0.495841996,0.468412943,0.531034483,0.5
8,0.412731006,0.464342314,0.548780488,0.577507599,0.45631068,0.584269663,0.567944251,0.469465649,0.459677419,0.582191781,0.523206751,0.484848485,0.564039409,0.538461538,0.575376884,0.519774011,0.478448276,0.535852713,0.494845361,0.547683924,0.552875696,0.508064516,0.628571429,0.5,0.490909091,0.568389058,0.576457646,0.528225806,0.477375566,0.467391304,0.452261307,0.452593918,0.557620818,0.47715736,0.511450382,0.505703422,0.541946309,0.447058824,0.537459283,0.603498542,0.528205128,0.519774011,0.5,0.434554974,0.626666667,0.530534351,0.503225806,0.52,0.565400844,0.591358025,0.553475936,0.563176895,0.503282276,0.549597855,0.5,0.521996616,0.599206349,0.574468085,0.466367713,0.532392027,0.494736842,0.448863636,0.5261959,0.463144963,0.605421687,0.468531469,0.583815029,0.466666667,0.4,0.46856465,0.516129032,0.525547445,0.575,0.525252525,0.593200469,0.503802281,0.374207188,0.510822511,0.525139665,0.5703125,0.520824388,0.553191489,0.481900452,0.462264151,0.596491228,0.465384615,0.52,0.506493506,0.496062992,0.530434783,0.501294666,0.522491349,0.515463918,0.49201278,0.535768645,0.447860963,0.556085919,0.517525773,0.426116838,0.567982456,0.605633803,0.527700831,0.553488372,0.526315789,0.497681607,0.47873633,0.5,0.502777778,0.52388664,0.524251806,0.460616438,0.568181818,0.5
9,0.450980392,0.462650602,0.557377049,0.57826087,0.517241379,0.516853933,0.543103448,0.577181208,0.444308446,0.534351145,0.524500907,0.461538462,0.570075758,0.442622951,0.564655172,0.637096774,0.483333333,0.565281899,0.525,0.503649635,0.565217391,0.574468085,0.552238806,0.5,0.529126214,0.538793103,0.56877898,0.554347826,0.471153846,0.504424779,0.511904762,0.452722063,0.627118644,0.434782609,0.50295858,0.507142857,0.557894737,0.479452055,0.486238532,0.602564103,0.610687023,0.5,0.490808824,0.543307087,0.595238095,0.5,0.472477064,0.5,0.604790419,0.508130081,0.586715867,0.572815534,0.517123288,0.520912548,0.48,0.506524318,0.552238806,0.582183187,0.481751825,0.531288344,0.504615385,0.493939394,0.481012658,0.492882562,0.557620818,0.596858639,0.644067797,0.419354839,0.413907285,0.500869565,0.539823009,0.53,0.512820513,0.676056338,0.58637084,0.494505495,0.472803347,0.502512563,0.553571429,0.549382716,0.545902649,0.584210526,0.472727273,0.464285714,0.477777778,0.499001996,0.536912752,0.421052632,0.553191489,0.65,0.5088,0.515151515,0.431818182,0.493273543,0.536687631,0.472168906,0.533216783,0.560664112,0.433996383,0.582554517,0.633333333,0.506743738,0.570934256,0.459459459,0.502427184,0.423153693,0.5,0.611111111,0.541845494,0.557522124,0.428240741,0.53030303,0.5
10,0.328358209,0.418604651,0.588235294,0.508474576,0.466666667,0.528301887,0.510638298,0.454545455,0.410404624,0.571428571,0.567307692,0.474576271,0.50862069,0.333333333,0.481481481,0.517241379,0.362068966,0.5,0.75,0.471698113,0.456647399,0.611111111,0.518518519,0.5,0.395348837,0.422222222,0.45890411,0.526315789,0.389830508,0.382978723,0.527777778,0.453125,0.41025641,0.333333333,0.393939394,0.431818182,0.410526316,0.428571429,0.461538462,0.509803922,0.371428571,0.4,0.474576271,0.476190476,0.411764706,0.324324324,0.361111111,0.355932203,0.526315789,0.412371134,0.491803279,0.541666667,0.35483871,0.41509434,0.416184971,0.442307692,0.45,0.473684211,0.357142857,0.361445783,0.406593407,0.392857143,0.35,0.427480916,0.538461538,0.428571429,0.5,0.545454545,0.24,0.390909091,0.473684211,0.631578947,0.517241379,0.523809524,0.503875969,0.477419355,0.364864865,0.401785714,0.344827586,0.425,0.445103858,0.537037037,0.403508772,0.4,0.447368421,0.32038835,0.333333333,0.636363636,0.368421053,0.625,0.433212996,0.447368421,0.222222222,0.4,0.410447761,0.431372549,0.429906542,0.419117647,0.284313725,0.547945205,0.578947368,0.49122807,0.410714286,0.666666667,0.434210526,0.407407407,0.5,0.382978723,0.433862434,0.492537313,0.434782609,0.666666667,0.5
