hero_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
1,0.462996486,0.405405405,0.412955466,0.395721925,0.489051095,0.481481481,0.490248227,0.435185185,0.499219969,0.358974359,0.472483221,0.4,0.412121212,0.477043673,0.448275862,0.44648318,0.357446809,0.362068966,0.405228758,0.512605042,0.444384449,0.536764706,0.442211055,0.5,0.420512821,0.441099476,0.496835443,0.511515152,0.416666667,0.452692868,0.517621145,0.518248175,0.464,0.41015625,0.321266968,0.521575985,0.47133758,0.55,0.427704752,0.550387597,0.385542169,0.509960159,0.404109589,0.402597403,0.402684564,0.46,0.466403162,0.319444444,0.457746479,0.487562189,0.462871287,0.4375,0.344322344,0.392,0.464751958,0.458015267,0.507142857,0.353535354,0.391666667,0.5,0.404411765,0.447183099,0.45890411,0.510548523,0.428571429,0.327272727,0.460674157,0.466666667,0.473011364,0.505102041,0.52006689,0.38410596,0.465156794,0.481643357,0.488584475,0.36036036,0.571428571,0.459459459,0.376923077,0.380952381,0.390243902,0.455445545,0.48125,0.472289157,0.546391753,0.419035847,0.490526316,0.498141264,0.372881356,0.426395939,0.333333333,0.402439024,0.45,0.421875,0.396551724,0.526666667,0.427055703,0.378378378,0.40797546,0.487964989,0.422297297,0.55862069,0.52173913,0.47311828,0.460431655,0.467661692,0.481481481,0.5,0.333333333,0.505415162,0.489130435,0.500641849,0.5
2,0.405405405,0.434224831,0.505050505,0.435294118,0.501618123,0.56097561,0.418128655,0.458525346,0.475206612,0.38961039,0.435672515,0.348571429,0.367816092,0.423208191,0.438202247,0.375,0.342105263,0.442477876,0.447674419,0.435064935,0.42264574,0.502538071,0.445945946,0.5,0.367052023,0.446096654,0.437956204,0.39453125,0.421875,0.467532468,0.451428571,0.494117647,0.542372881,0.401639344,0.36123348,0.46031746,0.460674157,0.482758621,0.344497608,0.443548387,0.439716312,0.534693878,0.473684211,0.452941176,0.355932203,0.41025641,0.477419355,0.407079646,0.414285714,0.496083551,0.416666667,0.428571429,0.444444444,0.423076923,0.450331126,0.514851485,0.585271318,0.357142857,0.392857143,0.449438202,0.322580645,0.397260274,0.382113821,0.469565217,0.285714286,0.4375,0.473684211,0.448630137,0.424050633,0.507042254,0.411764706,0.392491468,0.42893401,0.421359223,0.511705686,0.412698413,0.333333333,0.454545455,0.283018868,0.206896552,0.440860215,0.379310345,0.391304348,0.442748092,0.54601227,0.361623616,0.43258427,0.404255319,0.41025641,0.447058824,0.319148936,0.357142857,0.408333333,0.446808511,0.419753086,0.628571429,0.266055046,0.342857143,0.452631579,0.458781362,0.379310345,0.5,0.48,0.415841584,0.333333333,0.431095406,0.448275862,0.5,0.476190476,0.494623656,0.355555556,0.43003413,0.5
3,0.412955466,0.505050505,0.470818645,0.480769231,0.487179487,0.409090909,0.490909091,0.532258065,0.475728155,0.444444444,0.521226415,0.537634409,0.463414634,0.461904762,0.430555556,0.421052632,0.34,0.375,0.462121212,0.473684211,0.406392694,0.585106383,0.466666667,0.5,0.379310345,0.451219512,0.490196078,0.526315789,0.446153846,0.6125,0.493333333,0.550724638,0.45,0.4,0.372881356,0.5,0.428571429,0.432432432,0.450413223,0.444444444,0.439393939,0.462365591,0.484848485,0.422459893,0.333333333,0.483660131,0.441860465,0.596153846,0.391304348,0.391304348,0.385964912,0.419354839,0.386363636,0.5,0.556818182,0.448275862,0.626506024,0.388888889,0.441558442,0.460526316,0.513513514,0.367521368,0.413793103,0.355555556,0.4,0.5,0.56547619,0.460784314,0.478787879,0.567010309,0.516393443,0.473170732,0.47639485,0.428057554,0.522123894,0.631578947,0.473684211,0.551724138,0.35,0.411764706,0.520833333,0.534883721,0.526315789,0.468085106,0.529411765,0.43877551,0.54,0.403508772,0.238095238,0.5,0.421052632,0.733333333,0.484018265,0.468085106,0.475,0.46,0.53164557,0.471428571,0.511363636,0.478672986,0.594594595,0.574468085,0.363636364,0.410810811,0.214285714,0.438095238,0.4,0.5,0.466666667,0.578947368,0.416666667,0.395061728,0.5
4,0.395721925,0.435294118,0.480769231,0.453991881,0.509259259,0.402777778,0.517730496,0.457894737,0.423529412,0.386363636,0.481375358,0.414285714,0.375,0.493150685,0.426229508,0.297297297,0.328767123,0.465116279,0.478571429,0.551020408,0.456790123,0.471910112,0.383333333,0.5,0.389423077,0.36318408,0.576086957,0.473913043,0.383561644,0.436363636,0.5,0.530612245,0.418181818,0.38961039,0.377952756,0.47,0.528571429,0.363636364,0.389671362,0.52173913,0.378378378,0.514124294,0.355932203,0.438502674,0.5,0.4,0.483870968,0.434782609,0.395833333,0.479289941,0.394230769,0.368421053,0.404761905,0.393442623,0.506666667,0.412698413,0.579365079,0.322580645,0.522222222,0.375,0.243902439,0.461538462,0.507936508,0.449275362,0.321428571,0.375,0.577464789,0.503649635,0.466165414,0.574074074,0.48125,0.47008547,0.446640316,0.421212121,0.478723404,0.324324324,0.428571429,0.4,0.36,0.272727273,0.441176471,0.363636364,0.515625,0.445454545,0.512396694,0.362694301,0.469230769,0.451612903,0.615384615,0.351851852,0.5,0.4,0.486631016,0.626865672,0.479166667,0.404255319,0.411764706,0.421875,0.366972477,0.497716895,0.420289855,0.518987342,0.176470588,0.443579767,0.206896552,0.482142857,0.463414634,0.5,0.547619048,0.61038961,0.444444444,0.474358974,0.5
5,0.489051095,0.501618123,0.487179487,0.509259259,0.53965825,0.525974026,0.548551959,0.567853705,0.575308642,0.48,0.546994073,0.480836237,0.47107438,0.568,0.535483871,0.517241379,0.52020202,0.574468085,0.589498807,0.544871795,0.524912281,0.597633136,0.478947368,0.5,0.39959432,0.533333333,0.504065041,0.59563543,0.48502994,0.504,0.570588235,0.605678233,0.542253521,0.423280423,0.45,0.568115942,0.56,0.552631579,0.445652174,0.620155039,0.453441296,0.611683849,0.569105691,0.493670886,0.507692308,0.549060543,0.565384615,0.545454545,0.583850932,0.575396825,0.51910828,0.579710145,0.432748538,0.494623656,0.603389831,0.554347826,0.663755459,0.466666667,0.480314961,0.599099099,0.514851485,0.558823529,0.530516432,0.579439252,0.603174603,0.606060606,0.57168784,0.507042254,0.553153153,0.621333333,0.57755102,0.510721248,0.595854922,0.520979021,0.596638655,0.5625,0.557142857,0.590163934,0.369565217,0.492537313,0.536363636,0.530973451,0.563829787,0.537234043,0.597964377,0.477777778,0.557575758,0.505882353,0.465753425,0.582089552,0.375,0.538461538,0.52388535,0.583333333,0.53968254,0.480519481,0.526315789,0.475,0.552447552,0.533742331,0.462809917,0.684210526,0.5625,0.563862928,0.449275362,0.53285968,0.566037736,0.5,0.479674797,0.563829787,0.5,0.489878543,0.5
6,0.481481481,0.56097561,0.409090909,0.402777778,0.525974026,0.511895625,0.554744526,0.555555556,0.473372781,0.484848485,0.520123839,0.386363636,0.454545455,0.437229437,0.563636364,0.455696203,0.461538462,0.548387097,0.44,0.539823009,0.538327526,0.484210526,0.5625,0.5,0.421319797,0.503184713,0.504587156,0.551912568,0.454545455,0.456790123,0.595238095,0.634408602,0.529411765,0.474576271,0.511111111,0.619047619,0.571428571,0.575757576,0.485576923,0.657142857,0.347826087,0.580952381,0.586956522,0.418803419,0.558823529,0.506756757,0.631067961,0.484375,0.53968254,0.576470588,0.544117647,0.4,0.525423729,0.5,0.509090909,0.45,0.620915033,0.517241379,0.537634409,0.506849315,0.464285714,0.484375,0.633333333,0.588235294,0.5625,0.411764706,0.523809524,0.437037037,0.517241379,0.547368421,0.464052288,0.55,0.469135802,0.454918033,0.561643836,0.35,0.47826087,0.3125,0.322580645,0.48,0.536585366,0.382352941,0.557692308,0.612612613,0.574074074,0.503144654,0.592592593,0.421052632,0.315789474,0.5,0.428571429,0.52688172,0.529411765,0.571428571,0.512820513,0.442622951,0.456521739,0.444444444,0.505050505,0.548571429,0.34375,0.573033708,0.444444444,0.422459893,0.441176471,0.456521739,0.441860465,0.5,0.433333333,0.542372881,0.344827586,0.608108108,0.5
7,0.490248227,0.418128655,0.490909091,0.517730496,0.548551959,0.554744526,0.503313599,0.535079514,0.565853659,0.481012658,0.513460597,0.433085502,0.39673913,0.521456437,0.487922705,0.47029703,0.390804598,0.517142857,0.504761905,0.550955414,0.483645879,0.567010309,0.439655172,0.5,0.42377261,0.462203024,0.569721116,0.556818182,0.559585492,0.512524085,0.563186813,0.549575071,0.445945946,0.494163424,0.455205811,0.599597586,0.545454545,0.572916667,0.462601626,0.517094017,0.434482759,0.553219448,0.503267974,0.466763006,0.455357143,0.508379888,0.532608696,0.550359712,0.526595745,0.52897474,0.487562189,0.505376344,0.4,0.464435146,0.54245283,0.480286738,0.616714697,0.342857143,0.481081081,0.49609375,0.402439024,0.5,0.462686567,0.532258065,0.411764706,0.5,0.577597841,0.52,0.52425876,0.58254717,0.547528517,0.517281106,0.51160444,0.455980066,0.537480064,0.487951807,0.481481481,0.489130435,0.419047619,0.416666667,0.483193277,0.481171548,0.62244898,0.480519481,0.582338902,0.4375,0.548469388,0.486956522,0.423529412,0.437869822,0.48,0.527272727,0.483947681,0.498168498,0.482758621,0.540322581,0.45,0.488970588,0.465789474,0.536745407,0.371681416,0.561264822,0.507042254,0.488431877,0.49382716,0.473922902,0.558035714,0.5,0.476190476,0.522222222,0.447761194,0.478832117,0.5
8,0.435185185,0.458525346,0.532258065,0.457894737,0.567853705,0.555555556,0.535079514,0.515697227,0.538922156,0.363636364,0.526315789,0.489130435,0.396103896,0.498409332,0.533333333,0.488372093,0.39,0.496240602,0.52892562,0.543814433,0.473871131,0.604887984,0.591133005,0.5,0.452546296,0.5018226,0.529017857,0.596473029,0.517509728,0.495856354,0.575289575,0.570532915,0.529644269,0.52962963,0.466403162,0.561243144,0.593406593,0.54954955,0.454713494,0.553691275,0.357723577,0.593442623,0.546052632,0.37751004,0.484848485,0.52530541,0.507739938,0.494505495,0.54887218,0.508997429,0.511013216,0.460869565,0.379928315,0.426035503,0.565445026,0.457142857,0.569306931,0.34939759,0.479400749,0.573333333,0.47826087,0.506933744,0.43258427,0.505376344,0.413533835,0.510204082,0.574193548,0.547337278,0.553020134,0.53125,0.581395349,0.492462312,0.542959427,0.495395948,0.52074392,0.454545455,0.471698113,0.56097561,0.459854015,0.558441558,0.446601942,0.551724138,0.511627907,0.535962877,0.578853047,0.488549618,0.538947368,0.466403162,0.485714286,0.533707865,0.455223881,0.516853933,0.479865772,0.487394958,0.371428571,0.548022599,0.547945205,0.495934959,0.468571429,0.504442251,0.491909385,0.621621622,0.588235294,0.458204334,0.486725664,0.519148936,0.569536424,0.5,0.464788732,0.515923567,0.552083333,0.546341463,0.5
9,0.499219969,0.475206612,0.475728155,0.423529412,0.575308642,0.473372781,0.565853659,0.538922156,0.520682954,0.555555556,0.553339115,0.473913043,0.469026549,0.488335925,0.540540541,0.553191489,0.446540881,0.578947368,0.466666667,0.502590674,0.502779984,0.607913669,0.517045455,0.5,0.457471264,0.5,0.489247312,0.557522124,0.590604027,0.50877193,0.557291667,0.546218487,0.569105691,0.551020408,0.451923077,0.59939759,0.611111111,0.563380282,0.447409733,0.570422535,0.482905983,0.605882353,0.495238095,0.52446184,0.494505495,0.482233503,0.497237569,0.520547945,0.557377049,0.558139535,0.573883162,0.5,0.379746835,0.449704142,0.492462312,0.45112782,0.58245614,0.384615385,0.497409326,0.517857143,0.4,0.495049505,0.448529412,0.5078125,0.492537313,0.518518519,0.623015873,0.503067485,0.575688073,0.567010309,0.582417582,0.501234568,0.550810015,0.484615385,0.54887218,0.494505495,0.679245283,0.626666667,0.405660377,0.440677966,0.474025974,0.530612245,0.463414634,0.538461538,0.589041096,0.446078431,0.534883721,0.554140127,0.447761194,0.527272727,0.46969697,0.536585366,0.498168498,0.493670886,0.479591837,0.531531532,0.539473684,0.424870466,0.497942387,0.537284895,0.484615385,0.578313253,0.473684211,0.479477612,0.490909091,0.514134276,0.478571429,0.5,0.514563107,0.593548387,0.625,0.527065527,0.5
10,0.358974359,0.38961039,0.444444444,0.386363636,0.48,0.484848485,0.481012658,0.363636364,0.555555556,0.437007874,0.424242424,0.392857143,0.45,0.419117647,0.363636364,0.454545455,0.393939394,0.482758621,0.384615385,0.523076923,0.450757576,0.4,0.315789474,0.5,0.358333333,0.404255319,0.442307692,0.436090226,0.413793103,0.531914894,0.441176471,0.534883721,0.5,0.411764706,0.35,0.505747126,0.413793103,0.4,0.362068966,0.473684211,0.411764706,0.515625,0.294117647,0.349206349,0.4375,0.481012658,0.421052632,0.46875,0.434782609,0.408333333,0.426470588,0.294117647,0.342105263,0.526315789,0.41509434,0.416666667,0.557142857,0.181818182,0.422222222,0.5,0.3,0.443181818,0.296296296,0.366666667,0.357142857,0.166666667,0.518518519,0.4,0.446601942,0.519230769,0.473684211,0.428571429,0.450617284,0.484126984,0.484848485,0.363636364,0.625,0.368421053,0.3125,0.461538462,0.529411765,0.304347826,0.56,0.534482759,0.468085106,0.366071429,0.48,0.45,0.454545455,0.321428571,0.391304348,0.5,0.407894737,0.4375,0.222222222,0.363636364,0.485714286,0.425,0.428571429,0.5078125,0.325,0.352941176,0.4,0.369747899,0.666666667,0.458333333,0.404761905,0.5,0.1,0.4375,0.384615385,0.55,0.5
